price,coin,market_cap,volume,timestamp
63327.02654450202,bitcoin,1251095079247.0432,23998847798.757656,2024-09-24 00:00:00
64334.14274876097,bitcoin,1271183646356.5713,31490984593.70592,2024-09-25 00:00:00
63151.89959401337,bitcoin,1245721254991.302,26087643765.748165,2024-09-26 00:00:00
65130.76884023231,bitcoin,1287151352432.846,37995568903.94455,2024-09-27 00:00:00
65791.00212541742,bitcoin,1299708226182.0723,32664917503.931107,2024-09-28 00:00:00
65934.10709441357,bitcoin,1303217687717.8518,15342911002.84781,2024-09-29 00:00:00
65663.68986662335,bitcoin,1297825615076.3352,12948707838.938381,2024-09-30 00:00:00
63243.27532464382,bitcoin,1249577803402.1707,35124446789.27111,2024-10-01 00:00:00
60872.668543725544,bitcoin,1202927109017.5488,54251488433.95029,2024-10-02 00:00:00
60655.55979196848,bitcoin,1198652098493.4897,41870731291.86736,2024-10-03 00:00:00
60727.86395169296,bitcoin,1200491237695.5154,37711138441.76231,2024-10-04 00:00:00
62103.01047283253,bitcoin,1226663492771.043,30349059838.684578,2024-10-05 00:00:00
62091.932585194016,bitcoin,1226761949791.163,11095453162.990673,2024-10-06 00:00:00
62811.79972811266,bitcoin,1241834324867.657,14592422860.685436,2024-10-07 00:00:00
62287.39010510681,bitcoin,1231091696620.0955,33878876147.30253,2024-10-08 00:00:00
62185.230423727575,bitcoin,1229717180592.4397,28626429276.55382,2024-10-09 00:00:00
60597.15045618275,bitcoin,1197736450280.4102,28530748117.898792,2024-10-10 00:00:00
60195.18073772453,bitcoin,1189691671375.1472,29481971885.649742,2024-10-11 00:00:00
62392.34048293159,bitcoin,1233357176570.333,32008659336.482643,2024-10-12 00:00:00
63207.77062127557,bitcoin,1249002272717.2275,17665963646.417107,2024-10-13 00:00:00
62829.533686088886,bitcoin,1241241970951.0295,16784552979.060463,2024-10-14 00:00:00
66049.99492708022,bitcoin,1306085613997.8015,46553796134.14602,2024-10-15 00:00:00
66962.21994496793,bitcoin,1323774576161.621,51797932876.82809,2024-10-16 00:00:00
67647.54414766871,bitcoin,1337304399194.887,40640495380.19594,2024-10-17 00:00:00
67328.10527002988,bitcoin,1330387728623.8188,34512072357.92087,2024-10-18 00:00:00
68465.61920668735,bitcoin,1353541799303.4875,39984956633.228035,2024-10-19 00:00:00
68388.87128965274,bitcoin,1351942347611.1997,14110889435.452631,2024-10-20 00:00:00
68962.82918045693,bitcoin,1362381684459.9053,17253863432.786995,2024-10-21 00:00:00
67394.85775735618,bitcoin,1332326858574.4448,40485496091.95008,2024-10-22 00:00:00
67351.04793512498,bitcoin,1331426858508.4004,31398389967.38113,2024-10-23 00:00:00
66683.96806542306,bitcoin,1318285437546.2786,32676918488.059,2024-10-24 00:00:00
68214.05205157402,bitcoin,1347888109010.5889,35892606570.03549,2024-10-25 00:00:00
66585.66535501445,bitcoin,1313975091942.221,48426924850.053406,2024-10-26 00:00:00
67018.1650170265,bitcoin,1325192118637.2595,21169467789.89267,2024-10-27 00:00:00
67938.55412885673,bitcoin,1343350549900.1233,16533385730.434193,2024-10-28 00:00:00
69845.304531169,bitcoin,1380874923096.4146,41990540384.96554,2024-10-29 00:00:00
72781.11308158132,bitcoin,1439310420089.3665,65487782004.97014,2024-10-30 00:00:00
72342.62171127986,bitcoin,1431085552900.1965,43498144313.67304,2024-10-31 00:00:00
70264.99735573279,bitcoin,1390195908292.9321,45907074188.570145,2024-11-01 00:00:00
69507.92256395647,bitcoin,1374687306836.925,54863092261.31101,2024-11-02 00:00:00
69299.16036699413,bitcoin,1370516856365.7996,14709379754.965973,2024-11-03 00:00:00
68803.50626277467,bitcoin,1362302032218.0198,37659435506.757034,2024-11-04 00:00:00
